city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target,company_size_missing,company_type_missing
city_114,0.926,Female,1,Full time course,3,STEM,16.0,5,Public Sector,2,14,0,0,0
city_104,0.924,Male,1,no_enrollment,1,Unknown,4.0,1,Pvt Ltd,2,36,0,0,0
city_21,0.624,Unknown,1,no_enrollment,3,STEM,6.0,2,Early Stage Startup,1,112,1,0,0
city_64,0.6659999999999999,Unknown,0,no_enrollment,2,No Major,9.0,2,Pvt Ltd,0,108,0,0,0
city_21,0.624,Male,1,Part time course,3,STEM,9.0,6,Pvt Ltd,3,7,1,0,0
city_21,0.624,Female,0,Full time course,3,STEM,5.0,-1,Unknown,0,26,1,1,1
city_21,0.624,Male,1,no_enrollment,2,STEM,5.0,3,Pvt Ltd,0,87,1,0,0
city_103,0.92,Other,1,no_enrollment,2,STEM,19.0,7,Public Sector,4,52,1,0,0
city_101,0.5579999999999999,Male,1,no_enrollment,2,No Major,15.0,-1,Unknown,5,20,1,1,1
city_83,0.923,Male,1,no_enrollment,2,STEM,11.0,1,Pvt Ltd,1,21,0,0,0
city_101,0.5579999999999999,Male,0,no_enrollment,2,STEM,4.0,-1,Unknown,1,92,1,1,1
city_64,0.6659999999999999,Male,1,no_enrollment,2,STEM,10.0,3,Pvt Ltd,2,102,0,0,0
city_105,0.794,Male,0,no_enrollment,2,Humanities,5.0,7,Pvt Ltd,5,26,0,0,0
city_104,0.924,Unknown,1,no_enrollment,3,STEM,3.0,0,Early Stage Startup,2,7,0,0,0
city_114,0.926,Male,0,Full time course,1,Unknown,4.0,7,Pvt Ltd,1,43,0,0,0
city_104,0.924,Male,1,no_enrollment,2,STEM,21.0,3,Pvt Ltd,1,45,0,0,0
city_73,0.754,Male,1,Full time course,2,STEM,2.0,2,Early Stage Startup,2,52,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,21.0,-1,Unknown,2,19,0,1,1
city_21,0.624,Unknown,1,Full time course,2,STEM,2.0,1,Funded Startup,1,32,1,0,0
city_162,0.767,Male,1,no_enrollment,2,Humanities,21.0,3,Pvt Ltd,5,26,1,0,0
city_67,0.855,Male,1,Part time course,2,STEM,6.0,-1,Unknown,1,90,0,1,1
city_75,0.939,Male,1,no_enrollment,2,STEM,6.0,3,Pvt Ltd,3,25,0,0,0
city_41,0.8270000000000001,Unknown,1,no_enrollment,3,STEM,13.0,0,Unknown,1,15,0,0,1
city_100,0.887,Male,1,no_enrollment,3,Humanities,21.0,3,Pvt Ltd,5,48,0,0,0
city_11,0.55,Unknown,0,Full time course,1,Unknown,3.0,-1,Unknown,1,98,0,1,1
city_93,0.865,Male,1,no_enrollment,2,STEM,10.0,2,Pvt Ltd,2,142,1,0,0
city_67,0.855,Other,0,no_enrollment,3,Humanities,4.0,7,Pvt Ltd,4,13,0,0,0
city_16,0.91,Male,1,no_enrollment,2,STEM,15.0,-1,Unknown,5,47,0,1,1
city_16,0.91,Female,1,no_enrollment,3,Humanities,14.0,4,Public Sector,1,28,0,0,0
city_90,0.698,Unknown,0,no_enrollment,2,Unknown,2.0,-1,Pvt Ltd,0,228,1,1,0
city_64,0.6659999999999999,Male,1,no_enrollment,2,STEM,21.0,-1,Unknown,4,22,0,1,1
city_21,0.624,Male,0,Full time course,2,STEM,0.0,-1,Unknown,0,18,1,1,1
city_13,0.8270000000000001,Male,1,no_enrollment,2,STEM,2.0,1,Pvt Ltd,1,29,0,0,0
city_67,0.855,Male,1,no_enrollment,3,STEM,5.0,3,Unknown,1,46,0,0,1
city_11,0.55,Unknown,0,Full time course,2,STEM,0.0,-1,Unknown,0,12,0,1,1
city_103,0.92,Unknown,1,no_enrollment,2,STEM,5.0,3,Pvt Ltd,2,17,0,0,0
city_36,0.893,Male,1,no_enrollment,3,STEM,5.0,2,Pvt Ltd,2,65,0,0,0
city_103,0.92,Male,0,no_enrollment,2,Humanities,3.0,3,Pvt Ltd,1,35,0,0,0
city_67,0.855,Male,0,Full time course,2,STEM,9.0,7,Pvt Ltd,3,14,0,0,0
city_103,0.92,Female,1,no_enrollment,3,STEM,2.0,0,Early Stage Startup,1,4,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,15.0,2,Pvt Ltd,5,12,0,0,0
city_160,0.92,Male,1,no_enrollment,2,STEM,21.0,2,Pvt Ltd,2,108,0,0,0
city_103,0.92,Male,0,no_enrollment,2,STEM,21.0,-1,Unknown,1,136,0,1,1
city_103,0.92,Male,1,no_enrollment,2,STEM,5.0,1,Unknown,1,27,0,0,1
city_20,0.7959999999999999,Unknown,1,Part time course,3,STEM,4.0,2,Funded Startup,1,74,0,0,0
city_71,0.884,Male,1,no_enrollment,2,STEM,15.0,1,Early Stage Startup,1,86,0,0,0
city_57,0.866,Female,0,Part time course,2,STEM,0.0,1,Pvt Ltd,2,83,0,0,0
city_103,0.92,Unknown,0,Full time course,1,Unknown,4.0,-1,Unknown,3,75,0,1,1
city_152,0.698,Male,0,Full time course,3,STEM,11.0,-1,Public Sector,2,42,0,1,0
city_103,0.92,Female,1,no_enrollment,2,STEM,6.0,3,Unknown,1,332,0,0,1
city_61,0.913,Male,0,Full time course,2,STEM,4.0,-1,Unknown,1,140,0,1,1
city_16,0.91,Male,0,no_enrollment,1,Unknown,3.0,-1,Unknown,0,182,0,1,1
city_103,0.92,Female,0,no_enrollment,2,Humanities,3.0,3,Pvt Ltd,1,13,1,0,0
city_19,0.682,Unknown,1,no_enrollment,2,STEM,5.0,1,Pvt Ltd,2,172,1,0,0
city_103,0.92,Unknown,1,no_enrollment,2,STEM,10.0,3,NGO,1,48,0,0,0
city_65,0.802,Male,1,Full time course,2,STEM,9.0,2,Pvt Ltd,1,33,0,0,0
city_160,0.92,Unknown,0,Full time course,1,Unknown,2.0,3,Pvt Ltd,1,142,0,0,0
city_74,0.579,Unknown,0,Full time course,2,STEM,2.0,3,Pvt Ltd,1,34,0,0,0
city_65,0.802,Male,1,no_enrollment,2,STEM,6.0,2,Pvt Ltd,2,14,1,0,0
city_11,0.55,Male,1,no_enrollment,2,STEM,6.0,1,Pvt Ltd,2,27,1,0,0
city_11,0.55,Male,1,no_enrollment,2,STEM,8.0,3,Pvt Ltd,1,24,1,0,0
city_173,0.878,Unknown,0,no_enrollment,3,STEM,21.0,-1,Unknown,1,150,0,1,1
city_103,0.92,Female,1,no_enrollment,2,STEM,11.0,4,NGO,5,20,0,0,0
city_103,0.92,Unknown,1,no_enrollment,2,STEM,5.0,4,Unknown,1,140,0,0,1
city_16,0.91,Male,1,no_enrollment,2,STEM,12.0,6,Pvt Ltd,1,52,0,0,0
city_75,0.939,Male,1,no_enrollment,2,STEM,21.0,2,Pvt Ltd,2,160,0,0,0
city_136,0.897,Male,1,no_enrollment,3,STEM,9.0,6,Pvt Ltd,2,3,0,0,0
city_21,0.624,Male,1,no_enrollment,2,STEM,2.0,0,Pvt Ltd,2,2,1,0,0
city_16,0.91,Male,1,no_enrollment,2,STEM,21.0,5,Pvt Ltd,5,28,0,0,0
city_73,0.754,Male,1,no_enrollment,2,Other,21.0,-1,Unknown,4,46,0,1,1
city_67,0.855,Male,1,no_enrollment,2,STEM,8.0,2,Pvt Ltd,1,210,0,0,0
city_114,0.926,Male,1,no_enrollment,2,STEM,10.0,0,Pvt Ltd,1,36,0,0,0
city_98,0.949,Male,0,Full time course,2,STEM,4.0,-1,Unknown,1,160,1,1,1
city_21,0.624,Male,1,Full time course,2,STEM,2.0,1,NGO,2,101,0,0,0
city_114,0.926,Male,1,no_enrollment,3,STEM,6.0,2,Unknown,1,46,0,0,1
city_97,0.925,Male,1,no_enrollment,2,STEM,21.0,5,Pvt Ltd,5,19,0,0,0
city_21,0.624,Male,1,no_enrollment,2,STEM,3.0,3,Pvt Ltd,2,26,1,0,0
city_90,0.698,Unknown,1,Full time course,2,STEM,7.0,0,NGO,1,90,0,0,0
city_50,0.8959999999999999,Male,1,no_enrollment,2,STEM,9.0,0,Pvt Ltd,4,59,0,0,0
city_160,0.92,Male,1,Part time course,2,Business Degree,10.0,2,Funded Startup,1,260,0,0,0
city_21,0.624,Female,1,no_enrollment,2,STEM,11.0,2,Pvt Ltd,5,74,0,0,0
city_16,0.91,Male,1,no_enrollment,4,STEM,21.0,3,Pvt Ltd,2,20,1,0,0
city_173,0.878,Male,1,no_enrollment,2,STEM,12.0,3,Pvt Ltd,2,8,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,6.0,3,Pvt Ltd,1,131,0,0,0
city_138,0.836,Male,1,Full time course,3,STEM,7.0,-1,Unknown,1,45,0,1,1
city_82,0.693,Male,1,Full time course,2,STEM,11.0,1,Pvt Ltd,2,109,0,0,0
city_67,0.855,Male,1,no_enrollment,2,Humanities,3.0,3,Pvt Ltd,1,70,0,0,0
city_103,0.92,Female,1,no_enrollment,2,STEM,21.0,3,NGO,5,17,0,0,0
city_103,0.92,Female,0,no_enrollment,3,STEM,15.0,2,Pvt Ltd,1,51,0,0,0
city_103,0.92,Female,1,no_enrollment,2,STEM,6.0,2,Pvt Ltd,3,60,1,0,0
city_36,0.893,Unknown,0,no_enrollment,4,STEM,21.0,5,Public Sector,5,4,0,0,0
city_114,0.926,Male,0,no_enrollment,2,STEM,12.0,3,Pvt Ltd,5,7,0,0,0
city_102,0.804,Unknown,1,no_enrollment,3,STEM,21.0,3,Pvt Ltd,3,164,0,0,0
city_64,0.6659999999999999,Male,1,no_enrollment,2,STEM,20.0,-1,Unknown,4,290,0,1,1
city_102,0.804,Male,0,no_enrollment,1,Unknown,2.0,0,NGO,0,145,0,0,0
city_103,0.92,Unknown,0,no_enrollment,4,STEM,21.0,-1,Unknown,1,70,0,1,1
city_21,0.624,Male,0,no_enrollment,2,Unknown,3.0,-1,Unknown,1,24,0,1,1
city_103,0.92,Male,0,no_enrollment,3,Humanities,3.0,7,Pvt Ltd,1,133,1,0,0
city_11,0.55,Unknown,0,Full time course,2,STEM,2.0,-1,Unknown,1,20,0,1,1
city_103,0.92,Male,1,no_enrollment,2,STEM,10.0,0,Funded Startup,1,76,0,0,0
city_90,0.698,Female,0,Full time course,3,STEM,5.0,-1,Unknown,4,21,1,1,1
city_21,0.624,Female,1,no_enrollment,2,Other,8.0,6,Pvt Ltd,2,34,0,0,0
city_160,0.92,Male,0,no_enrollment,2,STEM,9.0,0,Pvt Ltd,2,15,0,0,0
city_57,0.866,Male,0,no_enrollment,2,STEM,21.0,-1,Unknown,5,156,0,1,1
city_103,0.92,Male,1,no_enrollment,2,STEM,21.0,6,Pvt Ltd,5,15,0,0,0
city_114,0.926,Unknown,1,no_enrollment,3,STEM,21.0,-1,Unknown,0,120,0,1,1
city_157,0.769,Unknown,1,no_enrollment,2,No Major,14.0,7,Unknown,5,47,0,0,1
city_73,0.754,Male,1,no_enrollment,2,STEM,12.0,-1,Unknown,2,100,1,1,1
city_67,0.855,Male,1,Part time course,2,STEM,6.0,4,Pvt Ltd,0,102,0,0,0
city_103,0.92,Male,0,no_enrollment,1,Unknown,4.0,-1,Unknown,0,52,0,1,1
city_114,0.926,Unknown,1,no_enrollment,1,Unknown,9.0,1,Unknown,4,39,0,0,1
city_103,0.92,Male,1,Full time course,1,Unknown,4.0,-1,Unknown,1,112,1,1,1
city_103,0.92,Male,0,no_enrollment,4,STEM,21.0,2,Pvt Ltd,5,14,0,0,0
city_16,0.91,Unknown,1,no_enrollment,2,Unknown,11.0,-1,Unknown,1,4,0,1,1
city_16,0.91,Unknown,1,no_enrollment,3,Arts,21.0,5,NGO,5,55,0,0,0
city_21,0.624,Male,1,no_enrollment,2,STEM,6.0,7,Pvt Ltd,4,49,1,0,0
city_16,0.91,Male,1,no_enrollment,2,STEM,15.0,-1,Unknown,5,72,0,1,1
city_89,0.925,Male,1,Full time course,2,STEM,14.0,6,Pvt Ltd,3,141,1,0,0
city_114,0.926,Male,0,no_enrollment,1,Unknown,6.0,-1,Pvt Ltd,0,28,0,1,0
city_103,0.92,Male,1,no_enrollment,2,STEM,13.0,7,Pvt Ltd,1,6,0,0,0
city_103,0.92,Male,1,no_enrollment,2,No Major,17.0,6,Pvt Ltd,1,125,0,0,0
city_75,0.939,Unknown,1,no_enrollment,2,STEM,21.0,-1,Unknown,0,326,0,1,1
city_103,0.92,Male,1,no_enrollment,2,Other,21.0,3,Pvt Ltd,2,33,0,0,0
city_102,0.804,Unknown,0,no_enrollment,3,STEM,6.0,7,Pvt Ltd,5,40,0,0,0
city_160,0.92,Unknown,1,no_enrollment,2,STEM,18.0,-1,Unknown,1,198,1,1,1
city_103,0.92,Female,1,no_enrollment,3,STEM,15.0,7,Pvt Ltd,5,55,0,0,0
city_150,0.698,Male,0,no_enrollment,2,STEM,21.0,4,Pvt Ltd,5,32,0,0,0
city_103,0.92,Male,1,no_enrollment,2,Arts,21.0,3,Pvt Ltd,5,11,0,0,0
city_73,0.754,Male,1,no_enrollment,2,STEM,21.0,0,Pvt Ltd,1,41,0,0,0
city_103,0.92,Male,1,no_enrollment,3,STEM,21.0,7,Public Sector,5,87,1,0,0
city_67,0.855,Male,1,no_enrollment,3,STEM,10.0,3,Pvt Ltd,4,114,0,0,0
city_70,0.698,Unknown,1,no_enrollment,2,Unknown,21.0,-1,Unknown,5,33,0,1,1
city_90,0.698,Male,1,Part time course,3,STEM,5.0,0,Early Stage Startup,1,15,0,0,0
city_16,0.91,Unknown,0,Full time course,1,Unknown,3.0,-1,Unknown,1,8,0,1,1
city_173,0.878,Female,1,Part time course,1,Unknown,2.0,3,NGO,1,22,0,0,0
city_103,0.92,Male,1,no_enrollment,3,STEM,21.0,6,Pvt Ltd,4,13,0,0,0
city_98,0.949,Male,1,no_enrollment,2,STEM,21.0,0,Public Sector,1,246,0,0,0
city_103,0.92,Male,1,no_enrollment,3,STEM,9.0,1,Pvt Ltd,1,22,0,0,0
city_103,0.92,Male,1,no_enrollment,3,STEM,21.0,0,Funded Startup,1,81,0,0,0
city_175,0.7759999999999999,Unknown,1,Full time course,2,STEM,4.0,1,Funded Startup,1,11,0,0,0
city_94,0.698,Male,0,Full time course,2,STEM,5.0,6,Unknown,1,24,1,0,1
city_103,0.92,Male,1,no_enrollment,2,STEM,21.0,3,Funded Startup,1,50,0,0,0
city_104,0.924,Male,0,Full time course,1,Unknown,6.0,-1,Unknown,0,15,0,1,1
city_28,0.939,Male,1,no_enrollment,3,STEM,21.0,1,Pvt Ltd,5,31,0,0,0
city_114,0.926,Male,1,no_enrollment,3,STEM,21.0,2,Pvt Ltd,0,84,0,0,0
city_136,0.897,Male,1,Part time course,2,STEM,4.0,7,Pvt Ltd,1,42,0,0,0
city_21,0.624,Unknown,1,no_enrollment,2,STEM,10.0,1,Pvt Ltd,5,105,1,0,0
city_103,0.92,Female,1,no_enrollment,2,STEM,21.0,2,Pvt Ltd,5,72,0,0,0
city_115,0.789,Male,1,no_enrollment,2,STEM,14.0,1,Pvt Ltd,5,42,1,0,0
city_94,0.698,Male,1,no_enrollment,2,STEM,15.0,2,Early Stage Startup,1,152,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,12.0,7,Pvt Ltd,1,60,0,0,0
city_21,0.624,Male,0,Full time course,3,STEM,2.0,-1,Unknown,0,8,0,1,1
city_16,0.91,Male,0,Full time course,3,STEM,13.0,-1,Unknown,3,17,1,1,1
city_83,0.923,Male,0,no_enrollment,1,Unknown,1.0,-1,Unknown,1,33,0,1,1
city_16,0.91,Male,1,no_enrollment,3,STEM,4.0,3,Funded Startup,0,38,0,0,0
city_103,0.92,Male,1,no_enrollment,2,Humanities,14.0,0,Early Stage Startup,2,178,0,0,0
city_160,0.92,Male,1,no_enrollment,2,STEM,15.0,2,Pvt Ltd,1,11,0,0,0
city_36,0.893,Male,1,no_enrollment,1,Unknown,21.0,-1,Unknown,0,87,0,1,1
city_65,0.802,Male,1,no_enrollment,2,STEM,13.0,-1,Unknown,0,84,0,1,1
city_71,0.884,Male,1,no_enrollment,2,STEM,21.0,3,Early Stage Startup,2,32,0,0,0
city_100,0.887,Unknown,1,no_enrollment,3,STEM,9.0,3,Pvt Ltd,1,31,1,0,0
city_21,0.624,Male,0,no_enrollment,2,STEM,2.0,4,Public Sector,1,39,0,0,0
city_59,0.775,Unknown,1,no_enrollment,2,STEM,7.0,1,Pvt Ltd,1,12,0,0,0
city_21,0.624,Unknown,1,Full time course,2,STEM,5.0,7,Pvt Ltd,1,50,0,0,0
city_165,0.903,Male,1,no_enrollment,2,STEM,3.0,3,Pvt Ltd,1,55,1,0,0
city_11,0.55,Unknown,1,no_enrollment,2,STEM,5.0,2,Pvt Ltd,1,7,1,0,0
city_103,0.92,Male,1,no_enrollment,3,Humanities,2.0,2,Early Stage Startup,1,104,0,0,0
city_160,0.92,Unknown,1,Full time course,2,Business Degree,21.0,-1,Unknown,5,90,1,1,1
city_103,0.92,Male,1,no_enrollment,3,Other,21.0,3,Pvt Ltd,5,8,0,0,0
city_21,0.624,Male,0,Full time course,2,STEM,2.0,-1,Unknown,0,102,0,1,1
city_21,0.624,Unknown,1,no_enrollment,3,STEM,0.0,1,Pvt Ltd,1,202,1,0,0
city_145,0.555,Unknown,1,no_enrollment,2,STEM,4.0,3,Pvt Ltd,1,22,0,0,0
city_21,0.624,Male,0,Full time course,2,STEM,3.0,-1,Pvt Ltd,0,42,0,1,0
city_160,0.92,Unknown,0,no_enrollment,0,Unknown,4.0,-1,Pvt Ltd,0,50,0,1,0
city_21,0.624,Male,1,no_enrollment,3,STEM,3.0,2,Funded Startup,1,88,0,0,0
city_73,0.754,Unknown,1,no_enrollment,2,STEM,5.0,5,Pvt Ltd,4,81,0,0,0
city_103,0.92,Male,1,no_enrollment,3,STEM,21.0,7,Pvt Ltd,1,7,0,0,0
city_21,0.624,Male,0,no_enrollment,2,Unknown,3.0,-1,Pvt Ltd,0,218,0,1,0
city_16,0.91,Male,1,no_enrollment,2,STEM,21.0,7,Pvt Ltd,5,62,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,6.0,2,Pvt Ltd,1,83,0,0,0
city_28,0.939,Male,1,no_enrollment,2,STEM,9.0,5,Pvt Ltd,5,11,0,0,0
city_114,0.926,Male,0,Part time course,4,STEM,21.0,2,Unknown,5,10,0,0,1
city_28,0.939,Male,1,no_enrollment,3,STEM,10.0,5,Pvt Ltd,1,114,0,0,0
city_21,0.624,Unknown,1,no_enrollment,3,STEM,3.0,2,Pvt Ltd,1,36,0,0,0
city_102,0.804,Unknown,0,no_enrollment,3,STEM,6.0,1,Pvt Ltd,1,17,0,0,0
city_16,0.91,Male,0,Full time course,2,STEM,2.0,-1,Unknown,0,80,1,1,1
city_160,0.92,Male,1,Part time course,2,STEM,21.0,2,Public Sector,5,108,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,2.0,3,Pvt Ltd,2,45,0,0,0
city_103,0.92,Male,0,Full time course,2,STEM,5.0,-1,Unknown,0,77,0,1,1
city_114,0.926,Male,1,no_enrollment,3,STEM,15.0,3,Pvt Ltd,2,8,0,0,0
city_173,0.878,Unknown,0,no_enrollment,2,STEM,5.0,-1,Unknown,1,28,0,1,1
city_142,0.727,Female,1,no_enrollment,2,STEM,9.0,3,Funded Startup,5,37,0,0,0
city_16,0.91,Unknown,0,Full time course,2,STEM,2.0,-1,Unknown,2,108,1,1,1
city_103,0.92,Male,1,no_enrollment,2,STEM,13.0,4,Pvt Ltd,2,162,0,0,0
city_73,0.754,Unknown,1,Full time course,1,Unknown,9.0,-1,Unknown,5,41,0,1,1
city_165,0.903,Male,1,no_enrollment,3,STEM,19.0,3,Pvt Ltd,4,4,0,0,0
city_71,0.884,Female,0,no_enrollment,4,STEM,3.0,5,Public Sector,1,41,0,0,0
city_165,0.903,Unknown,1,no_enrollment,2,STEM,17.0,7,Pvt Ltd,2,12,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,21.0,2,Pvt Ltd,1,190,0,0,0
city_21,0.624,Unknown,1,no_enrollment,2,STEM,7.0,2,Pvt Ltd,5,29,1,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,6.0,3,Public Sector,1,11,0,0,0
city_103,0.92,Male,0,Full time course,1,Unknown,3.0,7,Pvt Ltd,1,30,0,0,0
city_103,0.92,Male,1,no_enrollment,3,STEM,13.0,3,Unknown,5,39,0,0,1
city_102,0.804,Male,1,Full time course,1,Unknown,9.0,-1,Unknown,1,16,0,1,1
city_114,0.926,Male,0,no_enrollment,2,STEM,21.0,2,Pvt Ltd,5,5,0,0,0
city_26,0.698,Male,0,Full time course,1,Unknown,8.0,-1,Unknown,0,39,0,1,1
city_114,0.926,Male,1,no_enrollment,3,STEM,10.0,2,Pvt Ltd,5,29,0,0,0
city_21,0.624,Unknown,1,Full time course,3,STEM,4.0,2,NGO,2,210,0,0,0
city_103,0.92,Other,0,Part time course,1,Unknown,6.0,2,Funded Startup,1,54,0,0,0
city_160,0.92,Male,1,no_enrollment,2,STEM,9.0,2,Pvt Ltd,3,44,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,21.0,5,NGO,5,74,0,0,0
city_21,0.624,Male,1,no_enrollment,3,STEM,6.0,1,Pvt Ltd,1,8,1,0,0
city_21,0.624,Unknown,0,Full time course,2,STEM,7.0,-1,Unknown,0,20,1,1,1
city_103,0.92,Male,1,no_enrollment,2,STEM,3.0,4,Pvt Ltd,1,162,0,0,0
city_36,0.893,Unknown,0,no_enrollment,2,Business Degree,2.0,2,Pvt Ltd,1,110,0,0,0
city_46,0.762,Other,1,Part time course,1,Unknown,3.0,1,Pvt Ltd,1,262,0,0,0
city_138,0.836,Male,1,no_enrollment,3,STEM,14.0,-1,Unknown,1,6,0,1,1
city_64,0.6659999999999999,Male,1,Part time course,2,STEM,9.0,1,Pvt Ltd,1,19,1,0,0
city_64,0.6659999999999999,Other,0,no_enrollment,2,STEM,21.0,2,Pvt Ltd,5,23,1,0,0
city_21,0.624,Male,0,no_enrollment,2,STEM,0.0,-1,Unknown,1,107,1,1,1
city_136,0.897,Male,1,no_enrollment,3,STEM,15.0,7,Unknown,5,134,0,0,1
city_114,0.926,Male,1,no_enrollment,3,STEM,11.0,1,Early Stage Startup,1,40,0,0,0
city_71,0.884,Male,1,no_enrollment,2,STEM,12.0,2,Pvt Ltd,1,11,0,0,0
city_160,0.92,Male,1,no_enrollment,2,STEM,11.0,-1,Unknown,3,102,0,1,1
city_21,0.624,Male,0,Full time course,2,STEM,2.0,-1,Unknown,0,100,0,1,1
city_83,0.923,Male,0,no_enrollment,3,STEM,3.0,7,Pvt Ltd,0,30,0,0,0
city_103,0.92,Unknown,0,no_enrollment,1,Unknown,5.0,-1,Unknown,1,20,1,1,1
city_103,0.92,Unknown,1,no_enrollment,2,STEM,14.0,5,Pvt Ltd,3,4,0,0,0
city_16,0.91,Unknown,0,no_enrollment,0,Unknown,5.0,-1,Unknown,0,15,0,1,1
city_21,0.624,Male,0,no_enrollment,2,STEM,0.0,-1,Unknown,1,14,1,1,1
city_83,0.923,Male,0,no_enrollment,0,Unknown,1.0,-1,Pvt Ltd,0,103,0,1,0
city_160,0.92,Male,1,Part time course,2,STEM,5.0,5,Public Sector,2,40,0,0,0
city_16,0.91,Male,1,no_enrollment,4,STEM,21.0,3,Pvt Ltd,2,27,0,0,0
city_114,0.926,Male,0,no_enrollment,1,Unknown,10.0,3,Pvt Ltd,5,46,0,0,0
city_114,0.926,Male,1,no_enrollment,1,Unknown,7.0,2,Pvt Ltd,5,110,0,0,0
city_103,0.92,Male,1,no_enrollment,2,STEM,13.0,2,Funded Startup,1,96,0,0,0
